titel;tag;start;ende;buehne;thema;speaker
"How to Pitch Innovation to Your CEO";"2026-07-08";"16:00";"18:00";"Room M3";"Engineering Leadership";"Linda Stauffenberg"
"How does a Java agent work? Building a Java agent from scratch.";"2026-07-08";"16:00";"18:00";"Room M4";"Languages & Runtimes";"Marco Sussitz"
"Adopting GitOps for microservices delivery via Argo CD";"2026-07-08";"16:00";"18:00";"Room M5";"DevOps";"Stas Lebedenko"
"Build a data-intensive dashboard (that actually works)";"2026-07-08";"16:00";"18:00";"Room M6";"Frontend, Web & Mobile";"Josh Hobson"
"Rust on Robots: Hands-on Embedded Rust on STM32";"2026-07-08";"16:00";"18:00";"Room M7";"Languages & Runtimes";"Robert Jeutter"
"Ideate & Strategize: Defining Your Football for Good Prototype";"2026-07-08";"16:00";"18:00";"Room M8";"AI Agents";"Salih Guler"
"Zero to Binary: Building a Production-Ready AI Agent in Go";"2026-07-08";"16:00";"18:00";"Room R2";"AI Agents";"Rabieh Fashwall"
"From Vector Search to Better Understanding: How Hybrid RAG Improves Answers";"2026-07-08";"16:00";"18:00";"Room R3";"AI Engineering";"David vonThenen"
"Coffee With Developers: Live & Uncut";"2026-07-08";"16:30";"17:30";"Airstream 2";"Community";""
"Macro-delegation, Micro-steering of AI Coding Agents";"2026-07-08";"17:00";"17:45";"Room M1";"AI Agents";"Nabil Bousselham"
"Tech Leaders Night (exklusiv)";"2026-07-08";"18:30";"22:00";"CityCube";"Networking";""
"Doors open – Tag 1";"2026-07-09";"08:00";"";"CityCube";"Community";""
"Official Opening of WeAreDevelopers World Congress 2026";"2026-07-09";"09:15";"09:30";"Mainstage";"Opening";""
"The Agentic Assembly Line";"2026-07-09";"09:30";"10:00";"Mainstage";"Developer Experience";"Thomas Dohmke"
"People & Culture Welcome Address";"2026-07-09";"10:00";"10:10";"Stage 4";"People & Culture";"Rudi Bauer"
"The AI-Native Engineering Org: What's Real, What's Hype, What's Next";"2026-07-09";"10:10";"10:40";"Mainstage";"AI Engineering";"Taroon Mandhana"
"The New Financial Stack: AI, Agents and Trust";"2026-07-09";"10:10";"10:40";"Tech Leaders Stage";"Strategy & Innovation";"Daniele Tonella"
"The R in RAG: Why retrieval is often the weakest link (and how to fix it)";"2026-07-09";"10:10";"10:40";"Stage 1";"AI Engineering";"Tomek Porożyński"
"You Will Migrate Eventually: a developer approach to technology adoption";"2026-07-09";"10:10";"10:40";"Stage 2";"Engineering Leadership";"Wouter Ligtenberg"
"Your Tests Are Lying to You: Let AI Expose What You Missed";"2026-07-09";"10:10";"10:40";"Stage 3";"Quality & Reliability";"Maish Saidel-Keesing"
"You Can't Automate Trust — The Future of Recruiting is Still Human";"2026-07-09";"10:10";"10:40";"Stage 4";"People & Culture";"Mahmoud Aly"
"Goodbye Microservices, Hello Self-Contained Systems";"2026-07-09";"10:10";"10:40";"Stage 5";"Software Architecture";"Simon Martinelli"
"Ship Smarter Agents, Not Bigger Prompts";"2026-07-09";"10:10";"10:40";"Stage 6";"AI Agents";"April Yoho"
"Stop using Node.js like in 2020! What changed and what you can do today with Node.js";"2026-07-09";"10:10";"10:40";"Stage 7";"Languages & Runtimes";"Alfonso Graziano"
"Owning the Inference Layer: When and How to Run your Own Models";"2026-07-09";"10:10";"10:40";"Stage 8";"Cloud & AI Infrastructure";"Taylor Jordan Smith"
"Let's Talk Quality!";"2026-07-09";"10:10";"10:40";"Stage 9";"Quality & Reliability";"Lilia Gargouri"
"Building Trust Through Private and Verifiable AI";"2026-07-09";"10:10";"10:40";"Stage 10";"Security & Privacy";"Mingshen Sun"
"What's New in Web? 2026 Edition";"2026-07-09";"10:10";"10:40";"Stage 11";"Frontend, Web & Mobile";"Christian Liebel"
"7 Ways to Fail at Building a Platform";"2026-07-09";"10:10";"10:40";"Stage 12";"DevOps";"Michael Coté"
"From CPUs to QPUs: A Software Engineer's Guide to Quantum Computing";"2026-07-09";"10:10";"10:40";"Stage 13";"Emerging Technologies";"André Alves"
"Open Source Software Licenses – A short Guide for Software Developers";"2026-07-09";"10:10";"10:40";"Airstream 1";"Developer Experience";"Björn Stahl"
"Designing UX for SRE Agents in High-Stakes Incidents";"2026-07-09";"10:10";"10:20";"Airstream 2";"AI Agents";"Osmar Matos"
"One Color to Rule Them All: Relative CSS Colors in Practice";"2026-07-09";"10:25";"10:35";"Airstream 2";"Frontend, Web & Mobile";"Mert Akça"
"Your Distributed System Just Got a Brain. Now What?";"2026-07-09";"10:40";"10:50";"Airstream 2";"Software Architecture";"Marcin Makowski"
"Europe's Digital Future: How to Get from User to Shaper?";"2026-07-09";"10:50";"11:20";"Mainstage";"Strategy & Innovation";"Karsten Wildberger"
"Building 10x Organizations Using Modern Productivity Metrics";"2026-07-09";"10:50";"11:20";"Tech Leaders Stage";"Engineering Leadership";"Justin Reock"
"Scaling GraphRAG: Efficient Knowledge Retrieval for AI";"2026-07-09";"10:50";"11:20";"Stage 1";"AI Engineering";"Gal Shubeli"
"What 500+ Production Environments Taught Us About Shipping AI Agents";"2026-07-09";"10:50";"11:20";"Stage 2";"AI Agents";"Liran Hason"
"You don't need to write the code. You need to become a verification architect and prove it's correct";"2026-07-09";"10:50";"11:20";"Stage 3";"Developer Experience";"Guillaume Moigneu"
"The Great Reskilling – Who Wins in the AI Economy?";"2026-07-09";"10:50";"11:20";"Stage 4";"People & Culture";"Rudi Bauer"
"The Velocity Tax: The Hidden Cost of Unintentional Feature Alignment";"2026-07-09";"10:50";"11:20";"Stage 5";"Software Architecture";"Tushar Gupta"
"Production AI Is a Systems Problem: How ML Breaks at Scale and How to Prevent It";"2026-07-09";"10:50";"11:20";"Stage 6";"AI Engineering";"Anaëlle Sikich"
"Rust Is Easy – Things I would have liked to know before I'd started learning Rust";"2026-07-09";"10:50";"11:20";"Stage 7";"Languages & Runtimes";"Goetz Markgraf"
"GPU is not Monolithic: Packing LLMs with MIGs on Kubernetes";"2026-07-09";"10:50";"11:20";"Stage 8";"Cloud & AI Infrastructure";"Hajed Khlifi"
"Back to the Roots: Testing in the Age of AI";"2026-07-09";"10:50";"11:20";"Stage 9";"Quality & Reliability";"Jakub Janczyk"
"Product Innovation through Partnerships – Search and Local Services";"2026-07-09";"10:50";"11:20";"Stage 10";"Strategy & Innovation";"Lindsey Kelt Zikry"
"Design Systems for the Machines – How to Make AI Understand Your UI";"2026-07-09";"10:50";"11:20";"Stage 11";"Frontend, Web & Mobile";"Jennifer Wjertzoch"
"From DevOps to Scaled DevOps: How We're Rebuilding Continuous Delivery as a Platform";"2026-07-09";"10:50";"11:20";"Stage 12";"DevOps";"Dominik Krichbaum"
"Simple, Clean, Intuitive, and Qrisp: Quantum Linear Algebra for Developers";"2026-07-09";"10:50";"11:20";"Stage 13";"Emerging Technologies";"Matic Petrič"
"Vendor Neutral by Design: Building Healthy Open Source Ecosystems with Diverse Stakeholders";"2026-07-09";"10:50";"11:20";"Airstream 1";"Developer Experience";"Hendrik Ebbers"
"Fast Agents Produce Bad Results Faster";"2026-07-09";"10:55";"11:05";"Airstream 2";"AI Agents";"Mardu Swanepoel"
"Fast, Confident, and Wrong: When AI Fails at Accessibility";"2026-07-09";"11:10";"11:20";"Airstream 2";"Frontend, Web & Mobile";"Radostina (Ina) Tsvetkova"
"Under the Hood of Building on Lovable";"2026-07-09";"11:30";"12:00";"Mainstage";"Strategy & Innovation";"Fabian Hedin"
"Building on Open Source: The New Product Playbook";"2026-07-09";"11:30";"12:00";"Tech Leaders Stage";"Strategy & Innovation";"Dana Lawson"
"The Retrieval Layer for Edge AI";"2026-07-09";"11:30";"12:00";"Stage 1";"AI Engineering";"Chadha Sridi"
"Agentic AI: building autonomous systems for developers";"2026-07-09";"11:30";"12:00";"Stage 2";"AI Agents";"Anshul Jindal"
"Developers become Orchestrators: From Human-in-the-Loop to Spec-in-the-Loop";"2026-07-09";"11:30";"12:00";"Stage 3";"Developer Experience";"Bastian Heilemann"
"The New Org Chart: When AI Joins the Workforce";"2026-07-09";"11:30";"12:00";"Stage 4";"Talent Strategy";"Avani Prabhakar"
"Beyond Resilience: Architecting Antifragile Systems";"2026-07-09";"11:30";"12:00";"Stage 5";"Software Architecture";"Jan de Vries"
"The day the chatbot asked for sudo";"2026-07-09";"11:30";"12:00";"Stage 6";"Security & Privacy";"Alex Olivier"
"Physical AI for the Next Wave of Industrial Digitalisation";"2026-07-09";"11:30";"12:00";"Stage 7";"AI Engineering";"Sergio Perez"
"Linux (Pseudo)Filesystems: The Hidden Backbone of Cloud Native";"2026-07-09";"11:30";"12:00";"Stage 8";"Cloud & AI Infrastructure";"Daniel Drack"
"Contract Testing with MCP: Building Self-Describing, Self-Testing APIs";"2026-07-09";"11:30";"12:00";"Stage 9";"Quality & Reliability";"Moataz Nabil"
"Responsibility Beyond Code – Build with Societal Impact In Mind";"2026-07-09";"11:30";"12:00";"Stage 10";"Strategy & Innovation";"Yiyang Lu"
"It's a Great Time to be a Builder: Leveraging AI for Good";"2026-07-09";"11:30";"12:00";"Stage 11";"Frontend, Web & Mobile";"Seth Webster"
"An alternative approach to digital sovereignty: Confidential Computing";"2026-07-09";"11:30";"12:00";"Stage 12";"Security & Privacy";"Mike Bursell"
"The Internet is Dead, Long Live the Internet: Building Community in the Time of Bots";"2026-07-09";"11:30";"12:00";"Airstream 1";"Developer Experience";"Colleen Lake"
"How to Attract & Retain in a fast moving environment";"2026-07-09";"11:30";"12:00";"Airstream 2";"Talent Strategy";"Kent Frederiksen"
"The Signal Layer: What to Build When Anything Can Be Built";"2026-07-09";"12:10";"12:40";"Mainstage";"Strategy & Innovation";"Lena Hall"
"Beyond the Wrapper: Technical Bets That VCs Back";"2026-07-09";"12:10";"12:40";"Tech Leaders Stage";"Strategy & Innovation";"Christian Nagel"
"Fireside Chat – Why the future is built on ""AND""";"2026-07-09";"12:10";"12:40";"Stage 1";"People & Culture";"Rudi Bauer"
"Spot, Squash, Secure: Fighting Security Bugs with GitHub Copilot";"2026-07-09";"12:10";"12:40";"Stage 2";"Security & Privacy";"Marie Theresa Brosig"
"The Hidden Costs of CPU Limits in Kubernetes";"2026-07-09";"12:10";"12:40";"Stage 3";"Cloud & AI Infrastructure";"Pavel Malyarevsky"
"Inside Mercedes-Benz: 140 Years of Heritage meet AI";"2026-07-09";"12:10";"12:40";"Stage 4";"Strategy & Innovation";"Daniel Geisel"
"Building Accountability in Agentic AI";"2026-07-09";"12:10";"12:40";"Stage 5";"Strategy & Innovation";"Frederik Gregaard"
"The Future of Knowledge Retention: AI-Driven HR Transformation";"2026-07-09";"12:10";"12:40";"Stage 7";"Talent Strategy";"Trecilla Lobo"
"Designing for flow: How Atlassian Williams F1 Team is building an AI-led System of Work";"2026-07-09";"12:50";"13:20";"Mainstage";"Developer Experience";"Andrew Boyagi"
"Creating Europe's AI Moment – Now or Never";"2026-07-09";"12:50";"13:20";"Tech Leaders Stage";"Strategy & Innovation";"Thomas Saueressig"
"Small, Secure, Interconnected: the next internet Protocol";"2026-07-09";"12:50";"13:20";"Stage 1";"Cloud & AI Infrastructure";"Ross Kukulinski"
"200 OK: Payment settled, resource delivered";"2026-07-09";"12:50";"13:20";"Stage 2";"AI Agents";"Brian Whippo"
"Programming with Contracts in C++26";"2026-07-09";"12:50";"13:20";"Stage 3";"Languages & Runtimes";"Peter Bindels"
"Nemotron: NVIDIA's open model strategy for developers";"2026-07-09";"12:50";"13:20";"Stage 4";"AI Engineering";"Sergio Perez"
"Synthetic Insiders: The New AI Risk to Your Org";"2026-07-09";"12:50";"13:20";"Stage 5";"Security & Privacy";"George Proorocu"
"Go's Concurrency and Parallelism Inside Containers";"2026-07-09";"12:50";"13:20";"Stage 6";"Languages & Runtimes";"Rick Rackow"
"AI in Recruiting: What Works, What Fails – Real Lessons from Office & Volume Hiring";"2026-07-09";"12:50";"13:20";"Stage 7";"Talent Strategy";"Barbara Kryslak"
"Building the Nervous System of AI";"2026-07-09";"13:30";"14:00";"Mainstage";"AI Engineering";"Michael Kagan"
"Future-Proofing Human Capital for the AI Economy";"2026-07-09";"13:30";"14:00";"Tech Leaders Stage";"Talent Strategy";"Joël Mesot"
"Life Cycle Impact Assessment in TypeScript";"2026-07-09";"13:30";"14:00";"Stage 1";"Frontend, Web & Mobile";"Corinna John"
"Type Systems You Might Not Know (But Will Love)";"2026-07-09";"13:30";"14:00";"Stage 2";"Languages & Runtimes";"Veit Heller"
"Swift, Server-side, Serverless";"2026-07-09";"13:30";"14:00";"Stage 3";"Languages & Runtimes";"Sebastien Stormacq"
"The AI-Fluent Team: A Playbook for Driving Enterprise AI Transformation";"2026-07-09";"13:30";"14:00";"Stage 4";"People & Culture";"Avani Prabhakar"
"RTX AI PC: developing local and edge AI applications";"2026-07-09";"13:30";"14:00";"Stage 5";"AI Engineering";"Joerg Krall"
"Building the next generation of AI developer tools";"2026-07-09";"13:30";"14:00";"Stage 6";"Developer Experience";"Krzysztof Cieślak"
"From AI Assistance to Agentic Systems: Scaling Sovereign AI in Banking";"2026-07-09";"13:30";"14:00";"Stage 7";"AI Agents";"Julia Koch"
"From Static Rules to Reasoning Platforms: Scaling Intelligent Canary Delivery in 2026";"2026-07-09";"13:30";"14:00";"Stage 8";"DevOps";"Daniel Oh"
"Bulletproof Web Applications: The 2025 OWASP Top Ten";"2026-07-09";"13:30";"14:00";"Stage 9";"Security & Privacy";"Christian Wenz"
"Go with the Flow: Stop the Leaks Before Your Memory's a Waterfall!";"2026-07-09";"13:30";"14:00";"Stage 10";"Languages & Runtimes";"Manfred Bjørlin"
"Generative UIs and AI Assistants for Your Angular Applications";"2026-07-09";"13:30";"14:00";"Stage 11";"Frontend, Web & Mobile";"Manfred Steyer"
"Parquet, Delta, Iceberg & Ducklake – An introduction for developers";"2026-07-09";"13:30";"14:00";"Stage 12";"Data & Databases";"Matthias Niehoff"
"Beyond authentication: an open-source trust model for the agentic web";"2026-07-09";"13:30";"14:00";"Stage 13";"Quality & Reliability";"Sabrina Engling"
"The integrated AI experience: A New Paradigm in an Agentic World";"2026-07-09";"14:10";"14:40";"Mainstage";"Strategy & Innovation";"Markus Rautert"
"AI-Ready? What Enterprise Transformation Actually Takes";"2026-07-09";"14:10";"14:40";"Tech Leaders Stage";"Strategy & Innovation";"Stefan Lemke"
"From Global Capability Centers to AI-Powered Command Centers";"2026-07-09";"14:10";"14:40";"Stage 1";"Strategy & Innovation";"Sandeep Kusuma"
"How I built my own intelligent Robot Arm from Scratch";"2026-07-09";"14:10";"14:40";"Stage 2";"Emerging Technologies";"Iulia Feroli"
"Playing with types: An experimental structural type system for Kotlin";"2026-07-09";"14:10";"14:40";"Stage 3";"Languages & Runtimes";"Merlin Pahic"
"The 2026 Talent Pivot: Essential Trends for an Evolving Workforce";"2026-07-09";"14:10";"14:40";"Stage 4";"Talent Strategy";"Bastian Eichler"
"Understanding Kubernetes in a visual way";"2026-07-09";"14:10";"14:40";"Stage 5";"Cloud & AI Infrastructure";"Aurélie Vache"
"Tour de Force: LLM Inference Optimization from Simple to Sophisticated";"2026-07-09";"14:10";"14:40";"Stage 6";"AI Engineering";"Christin Pohl"
"Why (Senior) Engineers Struggle to Build AI Agents";"2026-07-09";"14:10";"14:40";"Stage 7";"AI Agents";"Philipp Schmid"
"No Keys for the Robot: GitOps as the Control Plane for Autonomous Agents";"2026-07-09";"14:10";"14:40";"Stage 8";"DevOps";"Jaroslaw Gajewski"
"Trust Issues: Because Zero-Trust Isn't Optional Anymore";"2026-07-09";"14:10";"14:40";"Stage 9";"Security & Privacy";"Jan Peer Stöcklmair"
"From Bytes to Execution: Writing a WebAssembly Runtime in Rust";"2026-07-09";"14:10";"14:40";"Stage 10";"Languages & Runtimes";"Gaurav Gahlot"
"Headless by Design: Building Enterprise Systems That Agents Can Actually Use";"2026-07-09";"14:10";"14:40";"Stage 11";"Software Architecture";"Tolga Elser"
"3 Ways to Rebuild the Data Stack for Agents";"2026-07-09";"14:10";"14:40";"Stage 12";"Data & Databases";"Jordan Tigani"
"Cryptographic agility for a post-quantum future: Falcon signatures in TypeScript";"2026-07-09";"14:10";"14:40";"Stage 13";"Security & Privacy";"Andrew Funk"
"How to Build a Culture of Sustainable High Performance";"2026-07-09";"14:10";"14:40";"Airstream 1";"People & Culture";"Bianca Errigo"
"Craftsmanship in the Age of Agents";"2026-07-09";"14:50";"15:20";"Mainstage";"Developer Experience";"Luis Bitencourt-Emilio"
"From SaaS to Space: The Defensible Value VCs Are Looking For";"2026-07-09";"14:50";"15:20";"Tech Leaders Stage";"Strategy & Innovation";"Friederike Hoffmann"
"Speed up your CI/CD pipelines by caching build & runtime artifacts";"2026-07-09";"14:50";"15:20";"Stage 1";"DevOps";"Thijs Feryn"
"Building Sovereign AI: Lessons from Deploying Secure RAG Systems using Confidential Computing";"2026-07-09";"14:50";"15:20";"Stage 2";"Security & Privacy";"Isha Salania"
"When Should You Use an Agent? Architectural Trade-offs in Agentic Systems";"2026-07-09";"14:50";"15:20";"Stage 3";"Software Architecture";"Matheus Guimaraes"
"From KPIs to KVIs: What HR Leaders Can Learn from Gamers About Energy, Performance & Longevity";"2026-07-09";"14:50";"15:20";"Stage 4";"Talent Strategy";"Toan Nguyen"
"5 Years in Cloud Native: The Good, the Bad, and the Bill";"2026-07-09";"14:50";"15:20";"Stage 5";"Cloud & AI Infrastructure";"Simone Desantis"
"Rules, Heuristics, or LLMs? Lessons from Solving the Same Problem Twice";"2026-07-09";"14:50";"15:20";"Stage 6";"AI Engineering";"Artur Naumenko"
"Building the Future of Java: AI Agents, MCP, and Next-Gen App Development";"2026-07-09";"14:50";"15:20";"Stage 7";"AI Agents";"Daniel Oh"
"Docker build without Docker";"2026-07-09";"14:50";"15:20";"Stage 8";"DevOps";"Oliver Seitz"
"Dangerous Reactivity: Why AI Output Is the New XSS";"2026-07-09";"14:50";"15:20";"Stage 9";"Security & Privacy";"Ramona Schwering"
"Extreme Rules Lawyering with the ECMAScript Specifications";"2026-07-09";"14:50";"15:20";"Stage 10";"Languages & Runtimes";"Peter Kröner"
"When Humans Stop Writing Code: Rethinking Languages, Compilers, and Responsibility";"2026-07-09";"14:50";"15:20";"Stage 11";"Languages & Runtimes";"Simon Auer"
"TiDB, One Layer at a Time: How Distributed SQL Became an Agentic AI Backbone";"2026-07-09";"14:50";"15:20";"Stage 12";"Data & Databases";"Mattias Jonsson"
"JSX to Live Activity: The Story of Voltra";"2026-07-09";"14:50";"15:20";"Stage 13";"Frontend, Web & Mobile";"Szymon Chmal"
"It's Not Vibe Coding If You Know What You're Doing";"2026-07-09";"14:50";"15:20";"Airstream 1";"Developer Experience";"Jeff Blankenburg"
"The Agent Interface Layer: Protocols, Tools and Trust Boundaries";"2026-07-09";"15:30";"16:00";"Mainstage";"AI Agents";"Taroon Mandhana"
"When AI Runs the Business: The Reality of Enterprise-Wide Automation";"2026-07-09";"15:30";"16:00";"Tech Leaders Stage";"Strategy & Innovation";"Michael Ameling"
"AI Search Insights from OtterlyAI: What We Tested, What Failed, and What Actually Works";"2026-07-09";"15:30";"16:00";"Stage 1";"AI Engineering";"Klaus-M. Schremser"
"Sociotechnical Architecture Reviews: Understanding Teams, Not Just Artefacts";"2026-07-09";"15:30";"16:00";"Stage 2";"Software Architecture";"Eberhard Wolff"
"Designing high quality software with AI";"2026-07-09";"15:30";"16:00";"Stage 3";"AI Agents";"Brian Lovin"
"The New Shiny Syndrome: How to Avoid Tech Hype Traps";"2026-07-09";"15:30";"16:00";"Stage 4";"Engineering Leadership";"Josip Stuhli"
"Building a Cloud Platform Where Everything is Just Another Kubernetes Resource";"2026-07-09";"15:30";"16:00";"Stage 5";"Cloud & AI Infrastructure";"Patrick Koss"
"Is it still C#? Practical systems programming with .NET (war stories included)";"2026-07-09";"15:30";"16:00";"Stage 6";"Languages & Runtimes";"Szymon Kulec"
"Agentic employees in world's most downloaded FinTech app";"2026-07-09";"15:30";"16:00";"Stage 7";"AI Agents";"Sasa Fajkovic"
"Strategies for Efficient Log Management in Large-Scale Kubernetes Clusters";"2026-07-09";"15:30";"16:00";"Stage 8";"DevOps";"Aliaksandr Valialkin"
"AI in Production: applied AI & enterprise use cases";"2026-07-09";"15:30";"16:00";"Stage 9";"AI Engineering";"Mohak Chadha"
"Building, securing and governing AI infrastructure in the Era of Agentic AI";"2026-07-09";"15:30";"16:00";"Stage 10";"Security & Privacy";"Rob Nertney"
"The Golden Age of Email: Owning the Inbox in the Age of AI";"2026-07-09";"15:30";"16:00";"Stage 11";"AI Agents";"Nikhil Gandhi"
"Beyond SQL Generation: How to Teach Agents What Your Database Actually Means";"2026-07-09";"15:30";"16:00";"Stage 12";"Data & Databases";"Celeste Horgan"
"Checkmate: 5 Real Incidents That Can End a Software Company";"2026-07-09";"15:30";"16:00";"Stage 13";"Security & Privacy";"Jasmin Azemović"
"Tech as a Profit Center – Maximizing P&L Impact by Research Funding and Capitalization";"2026-07-09";"15:30";"16:00";"Airstream 1";"Strategy & Innovation";"Henriette Brune"
"A Computer Is All You Need";"2026-07-09";"16:10";"16:40";"Mainstage";"AI Agents";"Steren Giannini"
"Physical AI: The Era of Intelligent Machines";"2026-07-09";"16:10";"16:40";"Tech Leaders Stage";"Emerging Technologies";"Zohar Fox"
"The Dark Corners of Kotlin Multiplatform";"2026-07-09";"16:10";"16:40";"Stage 1";"Frontend, Web & Mobile";"Andrea Della Porta"
"Solving Architectural Entropy With Runnable Diagrams";"2026-07-09";"16:10";"16:40";"Stage 2";"Software Architecture";"Mourjo Sen"
"5 things I wish I hadn't done building my AI agent";"2026-07-09";"16:10";"16:40";"Stage 3";"AI Agents";"Shachar Azriel"
"Five Ways to Break Silos in Your Engineering Organization";"2026-07-09";"16:10";"16:40";"Stage 4";"People & Culture";"Daniel Schniepp"
"Engineering culture in the age of intelligent, real-time systems";"2026-07-09";"16:10";"16:40";"Stage 5";"Engineering Leadership";"Manuela Locarno Ajayi"
"Practical tips for keeping your C# code base clean";"2026-07-09";"16:10";"16:40";"Stage 6";"Languages & Runtimes";"Dennis Doomen"
"Rust in the Real World: Adoption, Migration, and Tradeoffs";"2026-07-09";"16:10";"16:40";"Stage 7";"Languages & Runtimes";"Vitaly Bragilevsky"
"AI That Fits Your Business, Not the Other Way Around";"2026-07-09";"16:10";"16:40";"Stage 8";"Cloud & AI Infrastructure";"Anshul Jindal"
"Cutting LLM Costs Without Cutting Quality: How to Beat Proprietary LLMs with Fine-Tuned Open Source";"2026-07-09";"16:10";"16:40";"Stage 9";"AI Engineering";"Viktoria Semaan"
"Keeping applications secure by evolving OAuth 2.0 and OpenID Connect";"2026-07-09";"16:10";"16:40";"Stage 10";"Security & Privacy";"Alexander Schwartz"
"Microfrontends: Lessons Learned from Growing a Design System and Shared Libraries Across 20+ teams";"2026-07-09";"16:10";"16:40";"Stage 11";"Frontend, Web & Mobile";"Erasmo Hernandez"
"What If We've Been Scaling Stream Processing Wrong All Along?";"2026-07-09";"16:10";"16:40";"Stage 12";"Data & Databases";"Hartmut Armbruster"
